Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
MLPH	-4.0418742309834	11.6513282430213	-22.1345251128425	1.64166286006314e-91	3.32469562419987e-87	197.75874216748
ESR1	-5.3823561220626	11.6375721674877	-21.8120583640737	2.6509335268368e-89	2.68433528927494e-85	192.706361004923
TFF3	-6.07718434124067	9.82433300492611	-21.0993374888052	1.79051230998891e-84	1.20871517672985e-80	181.656187055406
CA12	-4.00162116939525	11.9999149425287	-20.9979706031342	8.58899473452533e-84	4.34860803409018e-80	180.098174476658
TBC1D9	-3.00527313954785	12.3263589490969	-20.6671322966436	1.39885336380208e-81	5.34223180930459e-78	175.037722225945
AGR3	-6.70699076066378	8.7847407224959	-20.6590789469754	1.58272718031935e-81	5.34223180930459e-78	174.915015142227
CXorf61	3.89651482570442	0.980289408866995	20.3104912480369	3.24550259235972e-79	9.38970264292414e-76	169.625852934112
TTLL4	1.53830036529681	8.98384523809524	20.223728114885	1.21262792734684e-78	3.06976759807852e-75	168.316230565072
RHOB	-1.77861573003676	12.9138538587849	-20.1864199505479	2.13554404899196e-78	4.80544867557614e-75	167.753944986347
PRR15	-3.79353783049336	8.24243193760263	-20.092826021857	8.8125950541865e-78	1.78472675037385e-74	166.345627553284
FAM47E	-2.50304773805546	6.39493300492611	-19.9708215353327	5.56447106493808e-77	1.02446970915569e-73	164.514733629019
C6orf97	-3.25477468760441	8.01521412151067	-19.791233293857	8.29880633502124e-76	1.40056188247375e-72	161.829957744945
DNALI1	-3.7994046063036	8.66234121510673	-19.7615126976013	1.29633899231733e-75	2.01949671326236e-72	161.386837971214
HORMAD1	4.41111868359506	1.73656756978654	19.6145588011819	1.17030061918353e-74	1.69292343855035e-71	159.20085857921
GPR77	-3.03030907005234	5.89788694581281	-19.6043222163765	1.36371989777254e-74	1.84120369131263e-71	159.04890037048
SUV39H2	1.28525236440585	7.69126921182266	19.5841973627993	1.84190935153259e-74	2.33139676170238e-71	158.750274412041
CT62	-3.50076824367969	4.56075295566502	-19.3688455830702	4.54803686660838e-73	5.41804956603253e-70	155.564766440686
ART3	4.28710625236664	2.24324926108374	19.2985041224835	1.29103423147289e-72	1.45255695865494e-69	154.528279461291
POU4F1	2.95144562868916	1.12735147783251	19.2789763245801	1.72414933945762e-72	1.83776170645767e-69	154.240889583055
CXXC5	-1.8598437041987	9.39000665024631	-19.1479029911741	1.19709177902835e-71	1.21217513544411e-68	152.315895306073
CDK2AP1	1.27843827152244	11.3853228243021	19.1217762092216	1.75998655467765e-71	1.6972975097777e-68	151.933025550994
C1orf64	-5.69464093774361	6.70627692939245	-19.0559609525559	4.64104674776375e-71	4.27229448798689e-68	150.969792803438
