pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_E2F_TARGETS	0.000188536953242836	0.000761823500731351	0.751729830034536	3.51504719494962	0	187	CCNE1|DEK|MSH2|ANP32E|USP1|PRIM2|STMN1|CHEK1|NCAPD2|TUBB|LBR|NASP|CDCA8|SYNCRIP|LYAR|CDC25A|HMGA1|MCM6|PHF5A|DONSON|SSRP1|RAD51AP1|RANBP1|CDC20|MCM3|SMC6|CKS1B|CHEK2|MCM7|DEPDC1|DIAPH3|KIF2C|MCM5|EZH2|CDCA3|DSCC1|AURKB|CCNB2|DCLRE1B|GINS4|MELK|TCF19|NUP205|ASF1A|RFC2|SMC4|TRIP13|CENPE|MYBL2|PLK1|CDKN2A|DLGAP5|PRDX4|KPNA2|MCM4|MKI67|GINS3|ZW10|BIRC5|MCM2|KIF18B|MAD2L1|HNRNPD|MTHFD2|CDC25B|PLK4|EED|TMPO|AK2|AURKA|RFC3|TIPIN|CKS2|RAN|GINS1|PTTG1|BUB1B|PCNA|KIF4A|XPO1|TACC3|DNMT1|LMNB1|PPP1R8|UBE2T|SLBP|CDK1|TRA2B|E2F8|CDKN3|RRM2|UBE2S|CIT|PSIP1|HMGB3|ATAD2|HMGB2|UNG|SPC25|ILF3|PAICS|PRKDC|HMMR|HELLS|ASF1B|XRCC6|NUDT21|SPC24|RPA1|SUV39H1|RACGAP1|NUP153|POLA2|BRCA2|NOLC1|TOP2A|POLD3|POLD1|CSE1L|SPAG5|ESPL1|EXOSC8|CDK4|TBRG4|RNASEH2A|TK1|POP7|CENPM|RAD21
HALLMARK_G2M_CHECKPOINT	0.000189969604863222	0.000761823500731351	0.686088059859022	3.19484341215071	0	183	E2F3|PRIM2|STMN1|CHEK1|DKC1|UCK2|LBR|NASP|TTK|DBF4|TFDP1|SYNCRIP|AMD1|CENPA|CDC25A|HMGA1|MCM6|STIL|KATNA1|SLC7A5|CDC20|ODC1|MCM3|CDC7|CKS1B|NDC80|CCNA2|KIF2C|MCM5|TPX2|EZH2|SNRPD1|NCL|BUB1|AURKB|RAD54L|INCENP|CCNB2|FBXO5|E2F2|CENPF|SMC4|EXO1|CENPE|MYBL2|PLK1|KIF15|SLC7A1|KPNA2|MKI67|FANCC|BIRC5|MCM2|MAD2L1|KIF23|HNRNPD|CDC25B|KIF11|CDC45|PRC1|PLK4|UBE2C|TMPO|AURKA|CKS2|PTTG1|POLQ|KIF4A|XPO1|TACC3|LMNB1|MTF2|EFNA5|CDK1|TRA2B|SAP30|SFPQ|CUL1|CDKN3|RBL1|UBE2S|HMGB3|NUSAP1|NUP50|ILF3|TROAP|PML|HMMR|PBK|CASP8AP2|E2F1|SUV39H1|RACGAP1|POLA2|SMC2|BRCA2|NEK2|NOLC1|TOP2A|DR1|PTTG3P|HIF1A|CHAF1A|KIF20B|ESPL1|E2F4|CDC6|CDK4|RASAL2|HIRA|RAD21|ATF5
HALLMARK_MYC_TARGETS_V1	0.000188536953242836	0.000761823500731351	0.662101945322771	3.09595215287727	0	187	SRPK1|IFRD1|DEK|ILF2|SERBP1|USP1|TFDP1|HDAC2|SYNCRIP|PSMB2|HDGF|MCM6|RFC4|RANBP1|CDC20|ODC1|SNRPA1|LSM2|MCM7|CCNA2|SF3B3|SNRPG|MCM5|SNRPD1|YWHAQ|PPM1G|TYMS|UBA2|CCT4|STARD7|DDX18|PRDX4|KPNA2|CCT5|TCP1|MCM4|MRPL9|PABPC1|MCM2|MAD2L1|HNRNPD|PSMD14|HPRT1|CDC45|CAD|RAN|PSMD7|PCNA|PRPS2|SSBP1|ABCE1|XPO1|PABPC4|SSB|TRA2B|TARDBP|CUL1|HSPD1|XPOT|SNRPA|EIF3B|HNRNPA3|VBP1|U2AF1|XRCC6|SET|PSMA4|POLE3|EIF2S2|NCBP1|CCT3|NOLC1|HDDC2|FBL|COX5A|CDK2|CDK4|NOP16|PGK1|PSMA7|SNRPD3|DDX21|PSMD1|HSPE1|PPIA|CCT7|PWP1|CBX3|SMARCC1|SRM|HNRNPU|CNBP|HSP90AB1|NOP56|ACP1|C1QBP|YWHAE|SNRPB2|PHB2|KPNB1|LDHA|HNRNPA2B1|PSMA2|EIF4H|VDAC3|AIMP2|HNRNPR|PSMC4|UBE2E1|LSM7|NCBP2|RPS10|PSMA1|MYC|PCBP1|NPM1|RNPS1|SNRPD2|RRM1|GNL3|CSTF2|COPS5|EIF4A1|TXNL4A
HALLMARK_MTORC1_SIGNALING	0.000188146754468485	0.000761823500731351	0.536683967083861	2.5158407905367	0	191	PSAT1|GMPS|IFRD1|CDC25A|PSMG1|POLR3G|SLC7A5|ACTR3|ASNS|PDK1|ENO1|SRD5A1|PHGDH|BUB1|CCT6A|UCHL5|NUP205|CALR|PLK1|PNO1|MCM4|RPN1|GAPDH|MCM2|MTHFD2|PSMD14|HPRT1|PSMC2|TPI1|CTSC|NFIL3|AURKA|PNP|TES|DHCR7|PITPNB|SSR1|TUBA4A|CACYBP|ACTR2|TOMM40|SHMT2|HSP90B1|RRM2|MLLT11|HSPD1|ABCF2|UNG|SLC2A1|PSMA4|PGM1|DAPP1|GPI|RPA1|PSPH|EIF2S2|SERPINH1|NFYC|RAB1A|HMBS|VLDLR|NAMPT|PSMD12|CXCR4|PDAP1|SLC7A11|ARPC5L|PLOD2|FADS2|PGK1|PPA1|STIP1|DDIT4|TFRC|STARD4|EBP|PRDX1|HSPE1|PPIA|TXNRD1|BCAT1|HSPA5|NUFIP1|CCNF|MAP2K3|IMMT|SQLE|FADS1|ME1|EEF1E1|LDHA|RIT1|IFI30|YKT6
HALLMARK_MYC_TARGETS_V2	0.000198019801980198	0.000761823500731351	0.643955215634513	2.47225785126751	0	57	NIP7|WDR43|NDUFAF4|MPHOSPH10|NOP2|MCM5|BYSL|PLK1|DDX18|MCM4|PLK4|SUPV3L1|HSPD1|TCOF1|MRTO4|UNG|PPRC1|NOLC1|CDK4|NOP16|TBRG4|RCL1|HSPE1|CBX3|SRM|NOP56|WDR74|PES1|DUSP2|UTP20|AIMP2|PPAN|MYBBP1A|SLC19A1|TFB2M|PUS1|MYC|NPM1|GNL3|IMP4|EXOSC5
HALLMARK_ALLOGRAFT_REJECTION	0.000188323917137476	0.000761823500731351	0.514893628266863	2.42004395314331	0	195	RIPK2|IFNAR2|LYN|MTIF2|NCK1|CDKN2A|HLA-DOB|CCL7|ABI1|MRPL3|TAP2|ABCE1|GZMB|GLMN|IL2RA|EGFR|CD47|ICAM1|IL27RA|IFNG|TNF|TAP1|ELF4|EIF5A|TLR6|MAP3K7|TLR1|UBE2D1|HIF1A|CSK|LY75|CCL5|IFNGR1|CCL13|CXCL9|NCR1|CCR1|IL2RG|TLR2|LCK|SOCS1|ICOSLG|TAPBP|PRF1|CD80|CXCL13|BCAT1|HLA-A|KLRD1|FLNA|CTSS|IRF4|CD7|IL12A|RPL39|RPS19|CCL4|SOCS5|FASLG|STAT1|IL12RB1|CCL2|CD96|CD247|IL18RAP|IFNGR2|ETS1|IL2RB|CD79A|LTB|GZMA|IL1B|CD86|MMP9|CD2|CCR5|CD3G|FAS|CD8B|HDAC9|MAP4K1|SIT1|CD3D|NPM1|IL7|CD3E|CD40|ITGB2|ITK|LIF|IL18|SRGN|CAPG|CCR2|EIF3D|PTPRC|LCP2|TRAT1|IL13|CXCR3|IL12B|ACHE|IL15|GALNT1|NOS2|CD8A|HLA-DQA1|PRKCB|BCL10|HLA-DRA|HLA-G|NME1|GCNT1|CCL11|ZAP70|EIF3J|WAS|HLA-E|IL6|CD40LG|FGR|HCLS1|CRTAM|ST8SIA4|CD4|STAT4|TGFB2
HALLMARK_MITOTIC_SPINDLE	0.000188821752265861	0.000761823500731351	0.470041317199616	2.20993187023098	0	196	TTK|NCK2|KATNA1|FSCN1|NDC80|ANLN|KIF2C|TPX2|BUB1|INCENP|CCNB2|FBXO5|CENPF|SMC4|NCK1|CENPE|PLK1|KIF15|DLGAP5|PIF1|MID1|BIRC5|KIF23|ABI1|KIF11|CEP57|PRC1|AURKA|CCDC88A|KIF4A|TUBA4A|LMNB1|CDC42EP1|CDK1|SASS6|ACTN4|NUSAP1|MYO1E|SOS1|CENPJ|CKAP5|STK38L|TUBGCP3|RACGAP1|KIF1B|BRCA2|LRPPRC|NEK2|ECT2|TOP2A|KIF20B|ESPL1|KIF3C|RASAL2|PLEKHG2|KNTC1|MYO9B|RHOF|MAPRE1|ARHGEF2|SMC3|PCNT|FLNA|CLASP1|GEMIN4|SUN2|WASF1|YWHAE|BCR|RALBP1|ARHGAP27|CLIP2|CEP192|RASA2|SAC3D1|CEP72|MARCKS|FARP1|NET1|ARHGEF11
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.000188857412653447	0.000761823500731351	0.421367984341613	1.97848297468478	0	194	NUP93|RIPK2|PSMB2|PTPN2|PELI1|IFNAR2|SOD2|PNPT1|PFKP|CCL7|IDO1|MTHFD2|PLA2G4A|PNP|NMI|PIM1|CXCL10|ICAM1|PLSCR1|PML|CD38|TAP1|UPP1|MYD88|IFIH1|TRIM26|CXCL11|HIF1A|PTGS2|EIF2AK2|NAMPT|CCL5|MX2|CXCL9|TNFAIP3|IL15RA|SOCS1|TAPBP|IFI44|HLA-A|IRF4|VCAM1|LY6E|SLAMF7|GPR18|RTP4|NLRC5|CD274|IL18BP|CASP3|IFI30|HLA-B|BATF2|USP18|STAT1|CMPK2|PSMA2|CCL2|ITGB7|PDE4B|CSF2RB|PSMA3|PSMB9|IL2RB|EPSTI1|LYSMD2|GZMA|CD86|TNFAIP2|XCL1|ZBP1|APOL6|FAS|IL7|CD40|BPGM|GCH1|FCGR1A|CASP1|ISG20|GBP6|OASL|GBP4|LCP2|CIITA|HERC6|RSAD2|IL15|HLA-DQA1|IFI44L|IRF1|PARP12|HLA-G|CASP4|SECTM1|ADAR|MX1|C1S
HALLMARK_INFLAMMATORY_RESPONSE	0.000188714851858841	0.000761823500731351	0.395880445342652	1.8628984881339	0	197	OPRK1|RIPK2|PVR|LAMP3|CCL20|LYN|ATP2C1|SLC7A1|ROS1|CCL7|ABI1|MARCO|NMI|CXCL10|CHST2|ITGB8|ICAM1|PLAUR|AQP9|GNAI3|IL1A|ADORA2B|TNFRSF9|CD82|MET|KIF1B|SEMA4D|CXCL11|TLR1|HIF1A|EIF2AK2|NAMPT|LTA|CCL5|RAF1|CX3CL1|SPHK1|CXCL6|CXCL9|IL15RA|TLR2|TNFSF15|LCK|SLC31A1|DCBLD2|ICOSLG|TAPBP|GNA15|CXCR6|LY6E|IL18R1|RTP4|PROK2|CLEC5A|SLAMF1|ADM|CCL2|PDE4B|FZD5|IL18RAP|IFNGR2|IL2RB|IL1B|CD70|KCNJ2|IRAK2|RASGRP1|MYC|OSM|ICAM4|ADRM1|GPR183|CD40|GCH1|ATP2A2|EDN1|LIF|IL7R|IL18|CCL17|CYBB|NOD2|LCP2|CD48|CD14|IL12B|CCR7|TNFSF9|SELE|MEP1A|IL15|SELL
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.000192752505782575	0.000761823500731351	0.434807740776591	1.81644136901194	0	87	PTPN2|TNFRSF21|BAK1|CCL7|PIM1|CXCL10|IL1R2|CXCL1|IL2RA|LTBR|TNF|CD38|MYD88|CXCL11|CSF2|CXCL3|IL10RB|IFNGR1|CXCL9|CCR1|IL2RG|IL15RA|TLR2|SOCS1|CXCL13|HAX1|CBL|IL18R1|STAT1|IL12RB1|CSF2RB|IFNGR2|LTB|IL1B|FAS|IL7|INHBE
