Gene	RF_Importance
RHOB	2.88936049192281
CA12	2.85252645087473
TBC1D9	2.3042667969589
FOXC1	2.28475080880055
CT62	2.04102139554079
LOC145837	1.8409315076542
TFF3	1.82428336925999
DSC2	1.76406106854184
CXXC5	1.72350371050181
TTLL4	1.70157814441225
GPR77	1.69651248234646
ESR1	1.52039330684349
PPP1R14C	1.40786899658462
PRTFDC1	1.40043852974407
TPSG1	1.35170636842978
SLC7A8	1.32495335113796
XBP1	1.31432318089774
MLPH	1.26243737728551
FSIP1	1.20788623769047
ARSG	1.19029283936977
PRKX	1.16284736678564
KCNK15	1.13609815179979
PSAT1	1.13225204679032
B3GNT5	1.09896890398441
CCDC48	1.07396720662825
C1orf64	1.06914048542446
EN1	1.02787525615909
C6orf97	1.01745355860623
VGLL1	0.994989074426588
AGR2	0.952304609247281
PRR15	0.950820663906782
CDCA2	0.903771469271313
TFF1	0.887529035777838
TTC36	0.874997501352587
CSAD	0.874428208488629
FAM47E	0.872533636685727
CXorf61	0.845447398304622
C19orf36	0.835437719432411
ASPM	0.818226238451153
ART3	0.815293551063902
TCEAL1	0.808947560879242
AGR3	0.785346645074131
FOXA1	0.783058547050355
CMBL	0.761067618527032
HAPLN3	0.753293600706983
FAM171A1	0.749675057337842
DNALI1	0.746625176323929
CHRD	0.740064422370058
HORMAD1	0.740024362983449
SPTBN4	0.729529996967892
POU5F1	0.723513301545833
SYBU	0.720824767600776
P4HTM	0.683669025413932
STAC	0.668620261819567
ANXA9	0.667986296886627
CYP2B7P1	0.660086584179628
CORO6	0.649255223193756
UBASH3B	0.640562914078712
TMEM178	0.63451510641469
KIAA1804	0.626922398295148
ACBD7	0.625883850239921
ULBP3	0.622587074153485
MTHFD1L	0.612406037846149
GATA3	0.603764170800481
CENPA	0.60201972334545
UGT8	0.589130834241974
ZNF703	0.565497271813613
TTK	0.558014583965989
PLCH1	0.539505410832693
CACNA2D2	0.537867634781407
LOC84740	0.536923452413867
SFRS13B	0.536662282546495
GDF15	0.534447551757082
BCL11A	0.532431325822301
BPI	0.531575596671325
ZNF462	0.527835883996967
KIAA1370	0.524645920227814
MMP17	0.513904137751396
BCAS1	0.513793045275949
MGC2889	0.504980930610878
CRIP1	0.498150684430098
ABCC8	0.493479849020017
CENPE	0.485479607745841
FLJ46111	0.464650558530721
CTSL2	0.463258800161432
AKR1E2	0.462211252869015
FZD9	0.459029051891559
THSD4	0.443728419406022
CCNE1	0.430384854608742
NCAPG	0.429743697505854
ERBB4	0.424029423255485
IGFALS	0.414831662484527
FREM2	0.406860686224474
GAMT	0.405540621299944
C10orf116	0.402844456241137
SPDEF	0.397830934643086
LMO4	0.397703086756272
NFE2L3	0.394309594885244
TMSB15B	0.393977101875804
ELF5	0.387596267517372
CPLX1	0.38622605930871
PCDHB9	0.377144178360371
CLCN4	0.376649557385416
SSPO	0.37080440038734
CXADR	0.365241788526223
AZU1	0.363185348595943
INPP5J	0.362507119071997
CENPW	0.362073151819024
LRRC48	0.361646767624852
AMY1A	0.359041885106588
LPO	0.353846141917178
CENPF	0.351412003338173
TSPAN1	0.350714263680388
KIAA1984	0.347328278745321
S100A9	0.34684392579276
KIF20A	0.346395528317552
KIF11	0.345948872182927
MFI2	0.345868440274455
