Gene	RF_Importance	LASSO_Coefficient	Degree	logFC	adj.P.Val	Is_Mutated	Score
CSAD	0.874428208488629	-0.44001715237439	0	-1.60154762445707	3.80042635147443e-48	FALSE	18.6855341184682
ESR1	1.52039330684349	0	342	-5.3823561220626	2.68433528927494e-85	FALSE	16.2608186618457
ERBB2	0.265923900454529	-0.264680090749202	292	-1.06618639269408	1.87394417717716e-13	FALSE	15.1808431275141
C19orf36	0.835437719432411	-0.300733357892391	0	-1.61210530125849	7.47682922647599e-37	FALSE	13.0816955866502
CA12	2.85252645087473	0	0	-4.00162116939525	4.34860803409018e-80	FALSE	11.8372290706538
TFF3	1.82428336925999	0	0	-6.07718434124067	1.20871517672985e-80	FALSE	10.8934699735378
TP53	0.0982817639392858	0	554	-0.0754438200244945	0.407164390162126	TRUE	9.50488164756658
EGFR	0.165001766858156	0	460	1.86966620113598	2.71658531110627e-19	FALSE	9.13405250493618
RHOB	2.88936049192281	0	0	-1.77861573003676	4.80544867557614e-75	FALSE	8.96864985299862
BPI	0.531575596671325	0.166316177620334	0	3.0871581757434	3.03109363645796e-57	FALSE	8.68209950429369
ALB	0.0395791660800975	0	482	-1.45076550840851	3.94583244220538e-06	FALSE	8.5879916785095
TBC1D9	2.3042667969589	0	0	-3.00527313954785	5.34223180930459e-78	FALSE	8.49324557757122
FOXC1	2.28475080880055	0	0	3.02467398151242	1.22904969120932e-66	FALSE	8.44832639459007
TFF1	0.887529035777838	0	0	-6.6468013119501	1.88912327959858e-61	FALSE	8.24891849346125
POU5F1	0.723513301545833	0.177067821906902	0	1.92697251141552	4.79021389498377e-60	FALSE	8.23714796829895
CT62	2.04102139554079	0	0	-3.50076824367969	5.41804956603253e-70	FALSE	8.20316328111595
ASPM	0.818226238451153	0	300	1.88613350929947	1.19604617521853e-28	FALSE	8.06868637734526
AGR3	0.785346645074131	0	0	-6.70699076066378	5.34223180930459e-78	FALSE	7.95781990047655
GDF15	0.534447551757082	-0.160067074058301	0	-2.6204868181312	9.53279184987615e-41	FALSE	7.8165038020124
LOC145837	1.8409315076542	0	0	-3.71687584586257	4.84273540026406e-67	FALSE	7.76585554460752
C1orf64	1.06914048542446	0	0	-5.69464093774361	4.27229448798689e-68	FALSE	7.62462689266777
TTK	0.558014583965989	0	290	2.05659440472213	7.57494019009026e-44	FALSE	7.13383931477605
AGR2	0.952304609247281	0	0	-5.42513887738055	2.00907250693652e-67	FALSE	6.83477890944871
TNF	0.0773684853241186	0	398	1.19329287671232	7.12515000910817e-16	FALSE	6.5570770273758
GPR77	1.69651248234646	-0.00250812178950543	0	-3.03030907005234	1.84120369131263e-71	FALSE	6.41072093780876
PPP1R14C	1.40786899658462	0	0	3.84567819579018	1.09321414529986e-56	FALSE	6.36155149710366
VGLL1	0.994989074426588	0	0	4.93280129190333	1.40117252718897e-60	FALSE	6.32529557049507
LOC84740	0.536923452413867	0.0852935730118449	0	3.64428745294577	1.06953542299048e-63	FALSE	6.26871907144657
