Gene	ML	Hub	Mutation	DE	EvidenceScore	Drug
AGR2	TRUE	FALSE	FALSE	TRUE	2	
AGR3	TRUE	FALSE	FALSE	TRUE	2	
ALB	TRUE	TRUE	FALSE	FALSE	2	
ART3	TRUE	FALSE	FALSE	TRUE	2	
ASPM	TRUE	TRUE	FALSE	TRUE	3	
AURKA	TRUE	TRUE	FALSE	FALSE	2	Alisertib
AURKB	TRUE	TRUE	FALSE	TRUE	3	
BPI	TRUE	FALSE	FALSE	TRUE	2	
BUB1	TRUE	TRUE	FALSE	TRUE	3	
C19orf36	TRUE	FALSE	FALSE	TRUE	2	
C1orf64	TRUE	FALSE	FALSE	TRUE	2	
CA12	TRUE	FALSE	FALSE	TRUE	2	
CCNA2	TRUE	TRUE	FALSE	TRUE	3	
CCND1	TRUE	TRUE	FALSE	FALSE	2	
CDH1	FALSE	TRUE	TRUE	FALSE	2	
CDK1	TRUE	TRUE	FALSE	FALSE	2	RO-3306
CSAD	TRUE	FALSE	FALSE	TRUE	2	
CT62	TRUE	FALSE	FALSE	TRUE	2	
CXXC5	TRUE	FALSE	FALSE	TRUE	2	
CYP2B7P1	TRUE	FALSE	FALSE	TRUE	2	
DSC2	TRUE	FALSE	FALSE	TRUE	2	
EGFR	TRUE	TRUE	FALSE	TRUE	3	Erlotinib
ENPP1	TRUE	FALSE	FALSE	TRUE	2	
ERBB2	TRUE	TRUE	FALSE	FALSE	2	Lapatinib
ESR1	TRUE	TRUE	FALSE	TRUE	3	
FFAR2	TRUE	FALSE	FALSE	TRUE	2	
FOXC1	TRUE	FALSE	FALSE	TRUE	2	
FSIP1	TRUE	FALSE	FALSE	TRUE	2	
GAMT	TRUE	FALSE	FALSE	TRUE	2	
GATA3	FALSE	FALSE	TRUE	TRUE	2	
GDF15	TRUE	FALSE	FALSE	TRUE	2	
GPR77	TRUE	FALSE	FALSE	TRUE	2	
KIF11	TRUE	TRUE	FALSE	FALSE	2	Ispinesib
LCT	TRUE	FALSE	FALSE	TRUE	2	
LOC145837	TRUE	FALSE	FALSE	TRUE	2	
LOC84740	TRUE	FALSE	FALSE	TRUE	2	
MKI67	TRUE	TRUE	FALSE	TRUE	3	
MLPH	TRUE	FALSE	FALSE	TRUE	2	
PLK1	TRUE	TRUE	FALSE	TRUE	3	Volasertib
POU5F1	TRUE	FALSE	FALSE	TRUE	2	
PPP1R14C	TRUE	FALSE	FALSE	TRUE	2	
PSAT1	TRUE	FALSE	FALSE	TRUE	2	
RHOB	TRUE	FALSE	FALSE	TRUE	2	
TBC1D9	TRUE	FALSE	FALSE	TRUE	2	
TFF1	TRUE	FALSE	FALSE	TRUE	2	
TFF3	TRUE	FALSE	FALSE	TRUE	2	
TMSB15A	TRUE	FALSE	FALSE	TRUE	2	
TNF	TRUE	TRUE	FALSE	FALSE	2	
TP53	TRUE	TRUE	TRUE	FALSE	3	
TPSG1	TRUE	FALSE	FALSE	TRUE	2	
TTK	TRUE	TRUE	FALSE	TRUE	3	BAY-1217389
VGLL1	TRUE	FALSE	FALSE	TRUE	2	
